"dataset","time_point","Side","m_A_orig","m_B_orig","v_A_orig","v_B_orig","A_val_orig","delta_orig","n_pooled_t_orig","n_Welch_t_orig","n_WMW_orig","n_welch_z_orig","n_pooled_z_orig","m_A_manual","m_B_manual","v_A_manual","v_B_manual","A_val_manual","delta_manual","n_pooled_t_manual","n_Welch_t_manual","n_WMW_manual","n_welch_z_manual","n_pooled_z_manual","n_pooled_t_diff","n_Welch_t_diff","n_WMW_diff","n_welch_z_diff","n_pooled_z_diff"
"D3","D19-D2","One-Sided",14.6,24.8,89.3,277.7,0.32,-10.2,23,23,32,22,22,14.6,24.8,89.3,277.7,0.32,-10.2,23,23,32,22,22,0,0,0,0,0
"D3","D19-D2","Two-Sided",14.6,24.8,89.3,277.7,0.32,-10.2,29,29,41,28,28,14.6,24.8,89.3,277.7,0.32,-10.2,29,29,41,28,28,0,0,0,0,0
"D3","D19-D5","One-Sided",9.8,20,101.2,267.5,0.32,-10.2,23,23,32,22,22,9.8,20,101.2,267.5,0.32,-10.2,23,23,32,22,22,0,0,0,0,0
"D3","D19-D5","Two-Sided",9.8,20,101.2,267.5,0.32,-10.2,29,30,41,28,28,9.8,20,101.2,267.5,0.32,-10.2,29,30,41,28,28,0,0,0,0,0
"D3","D19-D7","One-Sided",9.4,19,99.8,260,0.32,-9.6,25,25,32,25,25,9.4,19,99.8,260,0.32,-9.6,25,25,32,25,25,0,0,0,0,0
"D3","D19-D7","Two-Sided",9.4,19,99.8,260,0.32,-9.6,32,32,41,31,31,9.4,19,99.8,260,0.32,-9.6,32,32,41,31,31,0,0,0,0,0
"D3","D19-D9","One-Sided",8.4,18.6,86.8,237.8,0.32,-10.2,21,21,32,20,20,8.4,18.6,86.8,237.8,0.32,-10.2,21,21,32,20,20,0,0,0,0,0
"D3","D19-D9","Two-Sided",8.4,18.6,86.8,237.8,0.32,-10.2,26,26,41,25,25,8.4,18.6,86.8,237.8,0.32,-10.2,26,26,41,25,25,0,0,0,0,0
"D3","D21-D0","One-Sided",21.6,41.8,243.3,849.2,0.24,-20.2,18,18,16,17,17,21.6,41.8,243.3,849.2,0.24,-20.2,18,18,16,17,17,0,0,0,0,0
"D3","D21-D0","Two-Sided",21.6,41.8,243.3,849.2,0.24,-20.2,23,23,20,22,22,21.6,41.8,243.3,849.2,0.24,-20.2,23,23,20,22,22,0,0,0,0,0
"D3","D21-D12","One-Sided",16.4,35,210.3,768,0.26,-18.6,19,19,18,18,18,16.4,35,210.3,768,0.26,-18.6,19,19,18,18,18,0,0,0,0,0
"D3","D21-D12","Two-Sided",16.4,35,210.3,768,0.26,-18.6,24,24,23,23,23,16.4,35,210.3,768,0.26,-18.6,24,24,23,23,23,0,0,0,0,0
"D3","D21-D14","One-Sided",12.8,30.4,143.2,653.3,0.28,-17.6,17,17,22,16,16,12.8,30.4,143.2,653.3,0.28,-17.6,17,17,22,16,16,0,0,0,0,0
"D3","D21-D14","Two-Sided",12.8,30.4,143.2,653.3,0.28,-17.6,22,22,28,21,21,12.8,30.4,143.2,653.3,0.28,-17.6,22,22,28,21,21,0,0,0,0,0
"D3","D21-D16","One-Sided",11.6,28,121.3,581,0.28,-16.4,17,18,22,17,17,11.6,28,121.3,581,0.28,-16.4,17,18,22,17,17,0,0,0,0,0
"D3","D21-D16","Two-Sided",11.6,28,121.3,581,0.28,-16.4,22,22,28,21,21,11.6,28,121.3,581,0.28,-16.4,22,22,28,21,21,0,0,0,0,0
"D3","D21-D19","One-Sided",6.4,16.4,49.3,182.8,0.26,-10,16,16,18,15,15,6.4,16.4,49.3,182.8,0.26,-10,16,16,18,15,15,0,0,0,0,0
"D3","D21-D19","Two-Sided",6.4,16.4,49.3,182.8,0.26,-10,20,20,23,19,19,6.4,16.4,49.3,182.8,0.26,-10,20,20,23,19,19,0,0,0,0,0
"D3","D21-D2","One-Sided",21,41.2,246.5,837.7,0.24,-20.2,18,18,16,17,17,21,41.2,246.5,837.7,0.24,-20.2,18,18,16,17,17,0,0,0,0,0
"D3","D21-D2","Two-Sided",21,41.2,246.5,837.7,0.24,-20.2,22,23,20,21,21,21,41.2,246.5,837.7,0.24,-20.2,22,23,20,21,21,0,0,0,0,0
"D3","D21-D5","One-Sided",16.2,36.4,268.7,805.3,0.24,-20.2,17,18,16,17,17,16.2,36.4,268.7,805.3,0.24,-20.2,17,18,16,17,17,0,0,0,0,0
"D3","D21-D5","Two-Sided",16.2,36.4,268.7,805.3,0.24,-20.2,22,22,20,21,21,16.2,36.4,268.7,805.3,0.24,-20.2,22,22,20,21,21,0,0,0,0,0
"D3","D21-D7","One-Sided",15.8,35.4,263.7,807.8,0.24,-19.6,18,19,16,18,18,15.8,35.4,263.7,807.8,0.24,-19.6,18,19,16,18,18,0,0,0,0,0
"D3","D21-D7","Two-Sided",15.8,35.4,263.7,807.8,0.24,-19.6,23,24,20,22,22,15.8,35.4,263.7,807.8,0.24,-19.6,23,24,20,22,22,0,0,0,0,0
"D3","D21-D9","One-Sided",14.8,35,220.7,768,0.24,-20.2,16,16,16,15,15,14.8,35,220.7,768,0.24,-20.2,16,16,16,15,15,0,0,0,0,0
"D3","D21-D9","Two-Sided",14.8,35,220.7,768,0.24,-20.2,21,21,20,20,20,14.8,35,220.7,768,0.24,-20.2,21,21,20,20,20,0,0,0,0,0
"D3","D7-D0","One-Sided",5.8,6.4,8.2,0.8,0.46,-0.600000000000001,156,156,645,155,155,5.8,6.4,8.2,0.8,0.46,-0.600000000000001,156,156,645,155,155,0,0,0,0,0
"D3","D7-D0","Two-Sided",5.8,6.4,8.2,0.8,0.46,-0.600000000000001,198,198,818,197,197,5.8,6.4,8.2,0.8,0.46,-0.600000000000001,198,198,818,197,197,0,0,0,0,0
"D3","D7-D5","One-Sided",0.4,1,0.8,2,0.38,-0.6,49,49,72,49,49,0.4,1,0.8,2,0.38,-0.6,49,49,72,49,49,0,0,0,0,0
"D3","D7-D5","Two-Sided",0.4,1,0.8,2,0.38,-0.6,63,63,91,62,62,0.4,1,0.8,2,0.38,-0.6,63,63,91,62,62,0,0,0,0,0
"D3","D9-D7","One-Sided",1,0.4,7,0.8,0.64,0.6,135,136,53,134,134,1,0.4,7,0.8,0.64,0.6,135,136,53,134,134,0,0,0,0,0
"D3","D9-D7","Two-Sided",1,0.4,7,0.8,0.64,0.6,172,172,67,171,171,1,0.4,7,0.8,0.64,0.6,172,172,67,171,171,0,0,0,0,0
